product_name,overall_rating,no_ratings,no_reviews,avg_user_rating,rating_discrepancy,rating_discrepancy_pct
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4.1454545454545455,0.054545454545454675,1.3
Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H -...,4.3,114,16,4.25,0.04999999999999982,1.16
HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/W...,4.3,"1,095",71,4.253521126760563,0.04647887323943678,1.08
Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD...,4.3,348,39,4.256410256410256,0.043589743589743435,1.01
Lenovo AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows...,4.2,215,19,4.157894736842105,0.04210526315789487,1.0
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/...,4.3,306,35,4.257142857142857,0.042857142857142705,1.0
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/5...,4.2,296,25,4.16,0.040000000000000036,0.95
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4.16,0.040000000000000036,0.95
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SS...,4.2,"1,569",133,4.16,0.040000000000000036,0.95
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB ...,4.2,"5,789",310,4.16,0.040000000000000036,0.95
DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 1...,4.4,138,13,4.368421052631579,0.031578947368421595,0.72
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Wi...,4.7,12,3,4.666666666666667,0.033333333333333215,0.71
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 G...,4.5,"1,323",177,4.47,0.03000000000000025,0.67
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512...,4.5,"1,066",61,4.475409836065574,0.024590163934425924,0.55
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB ...,4.1,628,51,4.078431372549019,0.021568627450980316,0.53
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (8 GB/512 GB S...,4.1,628,51,4.078431372549019,0.021568627450980316,0.53
Infinix GT Book Intel Core i5 13th Gen 13420H - (16 GB/512 GB ...,4.3,63,7,4.285714285714286,0.014285714285714235,0.33
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,3.89,0.009999999999999787,0.26
HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC...,4.1,"1,835",133,4.09,0.009999999999999787,0.24
HP Victus 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/...,4.3,"1,789",127,4.29,0.009999999999999787,0.23
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,4.292993630573249,0.007006369426751036,0.16
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD...,4.3,"1,493",164,4.3,0.0,0.0
"ASUS ProArt PX13 OLED (2024) - AI PC for Creator, AMD Ryzen AI...",5.0,1,1,5.0,0.0,0.0
Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 ...,4.0,325,17,4.0,0.0,0.0
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/...,4.3,"1,493",164,4.3,0.0,0.0
HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Wind...,4.3,"1,132",80,4.3,0.0,0.0
HP 15s AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows...,4.2,837,65,4.2,0.0,0.0
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (32 GB/1 ...,4.6,36,5,4.6,0.0,0.0
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/...,4.2,"1,079",86,4.209302325581396,-0.009302325581395543,-0.22
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB ...,4.3,"3,380",334,4.31,-0.009999999999999787,-0.23
ASUS Vivobook Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/...,4.3,662,74,4.3108108108108105,-0.0108108108108107,-0.25
Lenovo IdeaPad 3 Intel Core i3 10th Gen 10110U - (8 GB/256 GB ...,4.3,"4,203",426,4.315068493150685,-0.015068493150685036,-0.35
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (8 GB/512...,4.3,148,19,4.315789473684211,-0.015789473684210797,-0.37
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H - (...,4.3,481,63,4.317460317460317,-0.0174603174603174,-0.41
HP Pavilion 15 (2024) AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 ...,4.3,"1,006",102,4.32,-0.020000000000000462,-0.47
HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Wind...,4.5,434,42,4.523809523809524,-0.023809523809523725,-0.53
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Wi...,4.1,74,8,4.125,-0.025000000000000355,-0.61
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/...,4.1,74,8,4.125,-0.025000000000000355,-0.61
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB...,4.3,505,60,4.333333333333333,-0.033333333333333215,-0.78
Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD...,4.3,256,21,4.333333333333333,-0.033333333333333215,-0.78
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512...,4.4,342,23,4.434782608695652,-0.03478260869565197,-0.79
